row,col,weight,level,conductance_uS,resistance_ohm,program_V
0,0,0.100000,16,55.6207,17978.92,3.6552
0,1,-0.200000,11,38.5517,25939.18,3.1379
0,2,0.300000,19,65.8621,15183.25,3.9655
0,3,-0.400000,8,28.3103,35322.78,2.8276
0,4,0.500000,23,79.5172,12575.89,4.3793
0,5,-0.600000,5,18.0690,55343.51,2.5172
0,6,0.700000,26,89.7586,11140.99,4.6897
0,7,-0.800000,2,7.8276,127753.30,2.2069
1,0,-0.100000,13,45.3793,22036.47,3.3448
1,1,0.200000,18,62.4483,16013.25,3.8621
1,2,-0.300000,10,35.1379,28459.27,3.0345
1,3,0.400000,21,72.6897,13757.12,4.1724
1,4,-0.500000,6,21.4828,46548.96,2.6207
1,5,0.600000,24,82.9310,12058.21,4.4828
1,6,-0.700000,3,11.2414,88957.06,2.3103
1,7,0.800000,27,93.1724,10732.79,4.7931
2,0,0.150000,17,59.0345,16939.25,3.7586
2,1,-0.250000,10,35.1379,28459.27,3.0345
2,2,0.350000,20,69.2759,14435.04,4.0690
2,3,-0.450000,7,24.8966,40166.20,2.7241
2,4,0.550000,23,79.5172,12575.89,4.3793
2,5,-0.650000,4,14.6552,68235.29,2.4138
2,6,0.750000,27,93.1724,10732.79,4.7931
2,7,-0.850000,1,4.4138,226562.50,2.1034
3,0,-0.150000,12,41.9655,23829.09,3.2414
3,1,0.250000,19,65.8621,15183.25,3.9655
3,2,-0.350000,9,31.7241,31521.74,2.9310
3,3,0.450000,22,76.1034,13140.01,4.2759
3,4,-0.550000,6,21.4828,46548.96,2.6207
3,5,0.650000,25,86.3448,11581.47,4.5862
3,6,-0.750000,2,7.8276,127753.30,2.2069
3,7,0.850000,28,96.5862,10353.45,4.8966
4,0,0.050000,15,52.2069,19154.56,3.5517
4,1,-0.150000,12,41.9655,23829.09,3.2414
4,2,0.250000,19,65.8621,15183.25,3.9655
4,3,-0.350000,9,31.7241,31521.74,2.9310
4,4,0.450000,22,76.1034,13140.01,4.2759
4,5,-0.550000,6,21.4828,46548.96,2.6207
4,6,0.650000,25,86.3448,11581.47,4.5862
4,7,-0.750000,2,7.8276,127753.30,2.2069
5,0,-0.050000,14,48.7931,20494.70,3.4483
5,1,0.150000,17,59.0345,16939.25,3.7586
5,2,-0.250000,10,35.1379,28459.27,3.0345
5,3,0.350000,20,69.2759,14435.04,4.0690
5,4,-0.450000,7,24.8966,40166.20,2.7241
5,5,0.550000,23,79.5172,12575.89,4.3793
5,6,-0.650000,4,14.6552,68235.29,2.4138
5,7,0.750000,27,93.1724,10732.79,4.7931
6,0,0.200000,18,62.4483,16013.25,3.8621
6,1,-0.300000,10,35.1379,28459.27,3.0345
6,2,0.400000,21,72.6897,13757.12,4.1724
6,3,-0.500000,6,21.4828,46548.96,2.6207
6,4,0.600000,24,82.9310,12058.21,4.4828
6,5,-0.700000,3,11.2414,88957.06,2.3103
6,6,0.800000,27,93.1724,10732.79,4.7931
6,7,-0.900000,0,1.0000,1000000.00,2.0000
7,0,-0.200000,11,38.5517,25939.18,3.1379
7,1,0.300000,19,65.8621,15183.25,3.9655
7,2,-0.400000,8,28.3103,35322.78,2.8276
7,3,0.500000,23,79.5172,12575.89,4.3793
7,4,-0.600000,5,18.0690,55343.51,2.5172
7,5,0.700000,26,89.7586,11140.99,4.6897
7,6,-0.800000,2,7.8276,127753.30,2.2069
7,7,0.900000,29,100.0000,10000.00,5.0000
